# coordinate	name	kind	language	homepage	stars	updated	description
# Generated by "vise sync" from the Mason registry, mise registry and GitHub.
# Do not hand-edit; edits are lost on sync. Use catalog-overrides.tsv instead.
actionlint	actionlint	linter	github-actions	https://github.com/rhysd/actionlint	4095	2026-07-16	Static checker for GitHub Actions workflow files.
github:AdaCore/ada_language_server	ada-language-server	lsp	ada	https://github.com/AdaCore/ada_language_server	301	2026-07-31	Ada/SPARK language server.
github:aiken-lang/aiken	aiken	lsp	aiken	https://github.com/aiken-lang/aiken	584	2026-08-01	A modern smart contract platform for Cardano
air	air	formatter,lsp	r	https://posit-dev.github.io/air/	-	-	R formatter and language server
github:kamadorueda/alejandra	alejandra	formatter	nix	https://github.com/kamadorueda/alejandra	1382	2026-04-25	The Uncompromising Nix Code Formatter
npm:alex	alex	linter	markdown	https://github.com/get-alex/alex	5095	2024-11-27	Catch insensitive, inconsiderate writing.
github:amber-lang/amber-lsp	amber-lsp	lsp	amber	https://github.com/amber-lang/amber-lsp	15	2026-07-23	Amber's Language Server Protocol
npm:@angular/language-server	angular-language-server	lsp	angular	https://angular.io/guide/language-service	-	-	The Angular Language Service provides code editors with a way to get completions, errors, hints, and navigation inside Angular templates. It works with external templates in separate HTML files, and also with in-line templates.
npm:@ansible/ansible-language-server	ansible-language-server	lsp	ansible	https://github.com/ansible/vscode-ansible	480	2026-08-02	Ansible Language Server.
pipx:ansible-lint	ansible-lint	linter	ansible	https://github.com/ansible/ansible-lint	3890	2026-07-31	Ansible Lint is a command-line tool for linting playbooks, roles and collections aimed toward any Ansible users.
npm:antlers-language-server	antlers-language-server	lsp	antlers	https://github.com/Stillat/vscode-antlers-language-server	40	2025-05-29	Provides rich language features for Statamic's Antlers templating language, including code completions, syntax highlighting, and more.
github:forcedotcom/salesforcedx-vscode	apex-language-server	lsp	apex	https://github.com/forcedotcom/salesforcedx-vscode	1034	2026-08-02	The Apex Language Server is an IDE-agnostic way for tools to access code-editing capabilities such as code completion, go to definition, find all usage, and refactoring.
go:github.com/googleapis/api-linter/v2	api-linter	linter	protobuf	https://github.com/googleapis/api-linter	761	2026-07-03	A linter for APIs defined in protocol buffers.
github:arduino/arduino-language-server	arduino-language-server	lsp	arduino	https://github.com/arduino/arduino-language-server	201	2026-07-28	An Arduino Language Server based on Clangd to Arduino code autocompletion.
cargo:asm-lsp	asm-lsp	lsp	assembly	https://github.com/bergercookie/asm-lsp	606	2026-07-08	Language server for NASM/GAS/GO Assembly.
github:klauspost/asmfmt	asmfmt	formatter	assembly	https://github.com/klauspost/asmfmt	310	2022-04-04	Go Assembler Formatter This will format your assembler code in a similar way that gofmt formats your Go code.
ast-grep	ast-grep	linter,formatter,lsp	c,c++,rust,go,java,python,c#,javascript,jsx,typescript,html,css,kotlin,dart,lua	https://github.com/ast-grep/ast-grep	15350	2026-08-02	A CLI tool for code structural search, lint and rewriting. Written in Rust.
npm:@astrojs/language-server	astro-language-server	lsp	astro	https://github.com/withastro/language-tools	336	2025-11-17	The Astro language server, its structure is inspired by the Svelte Language Server.
pipx:autoflake	autoflake	formatter	python	https://pypi.org/project/autoflake/	-	-	autoflake removes unused imports and unused variables from Python code.
github:thqby/vscode-autohotkey2-lsp	autohotkey_lsp	lsp	autohotkey	https://github.com/thqby/vscode-autohotkey2-lsp	311	2026-07-05	Autohotkey v2 Language Support using vscode-lsp.
pipx:autopep8	autopep8	formatter	python	https://pypi.org/project/autopep8/	-	-	A tool that automatically formats Python code to conform to the PEP 8 style guide.
pipx:autotools-language-server	autotools-language-server	lsp	any	https://github.com/Freed-Wu/autotools-language-server	50	2026-07-27	Autotools language server, support configure.ac, Makefile.am, Makefile.
npm:awk-language-server	awk-language-server	lsp	awk	https://github.com/Beaglefoot/awk-language-server	121	2024-11-19	Language Server for AWK.
npm:azure-pipelines-language-server	azure-pipelines-language-server	lsp	azure pipelines	https://github.com/microsoft/azure-pipelines-language-server	44	2026-08-02	A language server for Azure Pipelines YAML.
cargo:bacon	bacon	linter	rust	https://github.com/Canop/bacon	3363	2026-07-26	Bacon is a background rust code checker
cargo:bacon-ls	bacon-ls	lsp	rust	https://github.com/crisidev/bacon-ls	215	2026-08-01	Rust diagnostic provider based on Bacon
pipx:bandit	bandit	linter	python	https://pypi.org/project/bandit/	-	-	Bandit, a security linter from PyCQA
npm:basedpyright	basedpyright	lsp	python	https://detachhead.github.io/basedpyright	-	-	Fork of the Pyright static type checker for Python, with extra Pylance features.
npm:bash-language-server	bash-language-server	lsp	bash	https://github.com/bash-lsp/bash-language-server	2758	2026-07-30	A language server for Bash.
npm:basics-language-server	basics-language-server	lsp	any	https://github.com/antonk52/basics-language-server	77	2024-12-04	Buffer, path, and snippet completions
github:salesforce-misc/bazelrc-lsp	bazelrc-lsp	lsp	bazelrc	https://github.com/salesforce-misc/bazelrc-lsp	30	2026-06-02	Language Server for `.bazelrc` configuration files
cargo:beancount-language-server	beancount-language-server	lsp	beancount	https://github.com/polarmutex/beancount-language-server	244	2026-08-01	A Language Server Protocol (LSP) for beancount files.
pipx:beanhub-cli	beanhub-cli	formatter	beancount	https://beanhub-cli-docs.beanhub.io/	-	-	A simple beancount formatter that keeps comments.
pipx:beautysh	beautysh	formatter	bash,csh,ksh,sh,zsh	https://github.com/lovesegfault/beautysh	534	2026-07-27	beautysh - A Bash beautifier for the masses.
bibtex-tidy	bibtex-tidy	formatter	latex	https://github.com/FlamingTempura/bibtex-tidy	1111	2026-08-01	Cleaner and Formatter for BibTeX files
github:Azure/bicep	bicep-lsp	lsp	bicep	https://github.com/Azure/bicep	3623	2026-08-02	Bicep is a declarative language for describing and deploying Azure resources
biome	biome	lsp,linter,formatter	javascript,typescript,json	https://biomejs.dev	-	-	Toolchain of the web. Successor to Rome.
black	black	formatter	python	https://pypi.org/project/black/	-	-	Black, the uncompromising Python code formatter.
github:disrupted/blackd-client	blackd-client	formatter	python	https://github.com/disrupted/blackd-client	30	2023-07-18	Tiny HTTP client for the Black (blackd) Python code formatter.
npm:blade-formatter	blade-formatter	formatter	blade	https://github.com/shufo/blade-formatter	544	2026-07-31	An opinionated blade template formatter for Laravel that respects readability.
pipx:blue	blue	formatter	python	https://blue.readthedocs.io/en/latest/	-	-	blue is a somewhat less uncompromising code formatter than black, the OG of Python formatters. We love the idea of automatically formatting Python code, for the same reasons that inspired black, however we take issue with some of the decisions black makes. Kudos to black for pioneering code formatting for Python, and for its excellent implementation.
github:kitagry/bqls	bqls	lsp	sql	https://github.com/kitagry/bqls/	48	2026-08-02	BigQuery language server
npm:brighterscript	brighterscript	lsp	brighterscript	https://github.com/RokuCommunity/brighterscript	205	2026-07-31	A superset of Roku's BrightScript language.
npm:brighterscript-formatter	brighterscript-formatter	formatter	brighterscript	https://github.com/rokucommunity/brighterscript-formatter	17	2026-07-31	A code formatter for BrightScript and BrighterScript.
pipx:brunette	brunette	formatter	python	https://github.com/odwyersoftware/brunette	-	-	A best practice Python code formatter
github:1c-syntax/bsl-language-server	bsl-language-server	lsp	1С:enterprise,onescript	https://1c-syntax.github.io/bsl-language-server	-	-	Implementation of Language Server Protocol for Language 1C (BSL).
npm:@rokucommunity/bslint	bslint	linter	brighterscript	https://github.com/rokucommunity/bslint	33	2026-06-23	A BrighterScript CLI tool to lint your code without compiling your project.
buf	buf	lsp,linter,formatter	protobuf	https://buf.build	-	-	The Buf CLI is a one stop shop for your local Protocol Buffers needs. It comes with a linter that enforces good API designs, a breaking change detector, a generator, a formatter that formats your Protobuf files in accordance with industry standards. It also helps you manage your Protobuf assets on the Buf Schema Registry.
buildifier	buildifier	linter,formatter	bazel	https://github.com/bazelbuild/buildtools	1182	2026-07-16	buildifier is a tool for formatting and linting bazel BUILD, WORKSPACE, and .bzl files.
unavailable:bzl	bzl	lsp	starlark	https://bzl.io/	-	-	DEPRECATED: Servers offline and homepage no longer available. Use starpls instead. — Autocompletion, hover documentation, and debugging for BUILD files. Get a huge productivity boost with rule, attribute, and function definitions right in your IDE.
github:pherrymason/c3-lsp	c3-lsp	lsp	c3	https://github.com/pherrymason/c3-lsp	182	2026-07-20	c3-lsp is a language server for the c3 language, developed by pherrymason. It provides IDE features to any LSP-compatible editor.
cargo:cairo-language-server	cairo-language-server	lsp	cairo	https://github.com/starkware-libs/cairo	1900	2026-08-02	Starknet Cairo language server.
github:lukas-reineke/cbfmt	cbfmt	formatter	markdown	https://github.com/lukas-reineke/cbfmt	186	2023-03-01	A tool to format codeblocks inside markdown and org documents. It iterates over all codeblocks, and formats them with the tool(s) specified for the language of the block.
npm:@sap/cds-lsp	cds-lsp	lsp,formatter	cds	https://cap.cloud.sap	-	-	Language server for CDS
cfn-lint	cfn-lint	linter	yaml,json,cloudformation	https://github.com/aws-cloudformation/cfn-lint	2632	2026-08-01	CloudFormation Linter. Validate AWS CloudFormation YAML/JSON templates against the AWS CloudFormation Resource Specification and additional checks. Includes checking valid values for resource properties and best practices.
